OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
151091.16,B6,JetBlue Airways,D,2017,3
151273.82,B6,JetBlue Airways,L,2017,3
151481.55,UA,United Air Lines Inc.,A,2022,4
153275,AA,American Airlines Inc.,L,2012,4
154617,DL,Delta Air Lines Inc.,P,2014,2
155354.96,B6,JetBlue Airways,D,2019,3
157665,AA,American Airlines Inc.,L,2013,2
157951.18,HA,Hawaiian Airlines Inc.,D,2016,3
159063,UA,United Air Lines Inc.,P,2010,2
159317,AS,Alaska Airlines Inc.,D,2022,2
159864,DL,Delta Air Lines Inc.,A,2014,1
162058,DL,Delta Air Lines Inc.,P,2018,3
162900.73,UA,United Air Lines Inc.,A,2019,1
163093,DL,Delta Air Lines Inc.,P,2010,3
164900,DL,Delta Air Lines Inc.,A,2017,1
165118,AA,American Airlines Inc.,A,2014,2
165739,DL,Delta Air Lines Inc.,D,2009,3
166716,WN,Southwest Airlines Co.,D,2009,4
166732,DL,Delta Air Lines Inc.,P,2015,4
168204.86,UA,United Air Lines Inc.,P,2022,3
168715,DL,Delta Air Lines Inc.,P,2015,1
170740.95,UA,United Air Lines Inc.,A,2018,4
172388,DL,Delta Air Lines Inc.,A,2010,3
172411.99,UA,United Air Lines Inc.,A,2014,4
173033,AA,American Airlines Inc.,D,2010,3
176191,DL,Delta Air Lines Inc.,A,2016,4
176220.41,B6,JetBlue Airways,D,2018,4
176731,UA,United Air Lines Inc.,P,2010,3
176858,DL,Delta Air Lines Inc.,A,2012,4
177630.32,AA,American Airlines Inc.,L,2016,3
178851,AA,American Airlines Inc.,A,2013,3
179881.72,UA,United Air Lines Inc.,A,2017,4
179951.64,AA,American Airlines Inc.,A,2015,2
181299,DL,Delta Air Lines Inc.,P,2016,2
184009,AS,Alaska Airlines Inc.,D,2013,2
185259,AS,Alaska Airlines Inc.,D,2010,3
185395,AS,Alaska Airlines Inc.,D,2017,4
186218,AS,Alaska Airlines Inc.,D,2012,2
